id,title,segment,function,sub_function,seniority_level,level_rank,decision_power,budget_authority,signing_threshold_usd,veto_power,proximity_to_power,reports_to_typical,scope,influence_note,send_priority,pitch_angle,cta
30291,"Senior Director, Cost Engineering",X_Blocker,Supply Chain,Strategic Sourcing,Senior Director,9,Gatekeeper,Departmental,$250K-$5M,Yes,Is Decision Maker,"Vice President, Supply Chain",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30292,"Senior Director, Direct Materials",X_Blocker,Supply Chain,Strategic Sourcing,Senior Director,9,Gatekeeper,Departmental,$250K-$5M,Yes,Is Decision Maker,"Vice President, Supply Chain",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30293,"Senior Director, Sourcing Excellence",X_Blocker,Supply Chain,Strategic Sourcing,Senior Director,9,Gatekeeper,Departmental,$250K-$5M,Yes,Is Decision Maker,"Vice President, Supply Chain",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30294,"Senior Director, Strategic Sourcing",X_Blocker,Supply Chain,Strategic Sourcing,Senior Director,9,Gatekeeper,Departmental,$250K-$5M,Yes,Is Decision Maker,"Vice President, Supply Chain",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30295,"Senior Director, Supplier Development",X_Blocker,Supply Chain,Strategic Sourcing,Senior Director,9,Gatekeeper,Departmental,$250K-$5M,Yes,Is Decision Maker,"Vice President, Supply Chain",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30296,"Senior Director, Supplier Quality",X_Blocker,Supply Chain,Strategic Sourcing,Senior Director,9,Gatekeeper,Departmental,$250K-$5M,Yes,Is Decision Maker,"Vice President, Supply Chain",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30297,"APAC Director, Commodity Management",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",APAC,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30298,"APAC Director, Strategic Sourcing",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",APAC,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30299,"APAC Director, Supplier Development",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",APAC,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30300,Commodity Management Director,X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30301,Contract Manufacturing Director,X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30302,Cost Engineering Director,X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30303,"Deputy Director, Commodity Management",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30304,"Deputy Director, Contract Manufacturing",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30305,"Deputy Director, Cost Engineering",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30306,"Deputy Director, Direct Materials",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30307,"Deputy Director, Sourcing Excellence",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30308,"Deputy Director, Strategic Sourcing",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30309,"Deputy Director, Supplier Development",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30310,"Deputy Director, Supplier Quality",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30311,Direct Materials Director,X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30312,"Director, Commodity Management",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30313,"Director, Commodity Management - APAC",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",APAC,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30314,"Director, Commodity Management - EMEA",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",EMEA,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30315,"Director, Commodity Management - Greater China",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Greater China,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30316,"Director, Commodity Management - India",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",India,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30317,"Director, Commodity Management - Japan",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Japan,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30318,"Director, Commodity Management - Latin America",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Latin America,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30319,"Director, Commodity Management - North America",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",North America,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30320,"Director, Contract Manufacturing",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30321,"Director, Cost Engineering",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30322,"Director, Direct Materials",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30323,"Director, Direct Materials - APAC",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",APAC,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30324,"Director, Direct Materials - EMEA",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",EMEA,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30325,"Director, Direct Materials - Greater China",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Greater China,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30326,"Director, Direct Materials - India",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",India,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30327,"Director, Direct Materials - Japan",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Japan,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30328,"Director, Direct Materials - Latin America",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Latin America,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30329,"Director, Direct Materials - North America",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",North America,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30330,"Director, Sourcing Excellence",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30331,"Director, Strategic Sourcing",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30332,"Director, Strategic Sourcing - APAC",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",APAC,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30333,"Director, Strategic Sourcing - EMEA",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",EMEA,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30334,"Director, Strategic Sourcing - Greater China",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Greater China,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30335,"Director, Strategic Sourcing - India",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",India,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30336,"Director, Strategic Sourcing - Japan",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Japan,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30337,"Director, Strategic Sourcing - Latin America",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Latin America,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30338,"Director, Strategic Sourcing - North America",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",North America,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30339,"Director, Supplier Development",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30340,"Director, Supplier Development - APAC",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",APAC,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30341,"Director, Supplier Development - EMEA",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",EMEA,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30342,"Director, Supplier Development - Greater China",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Greater China,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30343,"Director, Supplier Development - India",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",India,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30344,"Director, Supplier Development - Japan",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Japan,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30345,"Director, Supplier Development - Latin America",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Latin America,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30346,"Director, Supplier Development - North America",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",North America,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30347,"Director, Supplier Quality",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30348,"Director, Supplier Quality - APAC",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",APAC,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30349,"Director, Supplier Quality - EMEA",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",EMEA,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30350,"Director, Supplier Quality - Greater China",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Greater China,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30351,"Director, Supplier Quality - India",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",India,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30352,"Director, Supplier Quality - Japan",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Japan,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30353,"Director, Supplier Quality - Latin America",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Latin America,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30354,"Director, Supplier Quality - North America",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",North America,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30355,"EMEA Director, Commodity Management",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",EMEA,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30356,"EMEA Director, Strategic Sourcing",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",EMEA,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30357,"EMEA Director, Supplier Development",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",EMEA,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30358,"Greater China Director, Commodity Management",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Greater China,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30359,"Greater China Director, Strategic Sourcing",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Greater China,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30360,"Greater China Director, Supplier Development",X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Greater China,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30361,Head of Commodity Management,X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30362,Head of Contract Manufacturing,X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30363,Head of Cost Engineering,X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
30364,Head of Direct Materials,X_Blocker,Supply Chain,Strategic Sourcing,Director,8,Gatekeeper,Departmental,$25K-$250K,Yes,Is Decision Maker,"Senior Director / Vice President, Supply Chain",Function,"Controls access and approval flow; can stop a decision, cannot make one. Holds veto in Strategic Sourcing review.",4,"Do not pitch. Assurance content only, or suppress entirely.",None - suppress unless you sell into this function.
